Plot Title: 1. table nursery. 01/11/22,,,,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 21258716, SEN S/N: 21258716)","Intensity, Lux (LGR S/N: 21258716, SEN S/N: 21258716)",Coupler Attached (LGR S/N: 21258716),Coupler Detached (LGR S/N: 21258716),Host Connected (LGR S/N: 21258716),Stopped (LGR S/N: 21258716),End Of File (LGR S/N: 21258716)
1,1/11/22 18:00,23.773,592,,,,,
2,1/11/22 18:10,23.773,215.3,,,,,
3,1/11/22 18:20,23.677,43.1,,,,,
4,1/11/22 18:30,23.677,0,,,,,
5,1/11/22 18:40,23.581,0,,,,,
6,1/11/22 18:50,23.484,0,,,,,
7,1/11/22 19:00,23.484,0,,,,,
8,1/11/22 19:10,23.388,0,,,,,
9,1/11/22 19:20,23.388,0,,,,,
10,1/11/22 19:30,23.292,0,,,,,
11,1/11/22 19:40,23.196,0,,,,,
12,1/11/22 19:50,23.1,0,,,,,
13,1/11/22 20:00,22.908,0,,,,,
14,1/11/22 20:10,22.812,0,,,,,
15,1/11/22 20:20,22.717,0,,,,,
16,1/11/22 20:30,22.717,0,,,,,
17,1/11/22 20:40,22.621,0,,,,,
18,1/11/22 20:50,22.429,0,,,,,
19,1/11/22 21:00,22.525,0,,,,,
20,1/11/22 21:10,22.525,0,,,,,
21,1/11/22 21:20,22.429,0,,,,,
22,1/11/22 21:30,22.525,0,,,,,
23,1/11/22 21:40,22.525,0,,,,,
24,1/11/22 21:50,22.525,0,,,,,
25,1/11/22 22:00,22.429,0,,,,,
26,1/11/22 22:10,22.621,0,,,,,
27,1/11/22 22:20,22.525,0,,,,,
28,1/11/22 22:30,22.525,0,,,,,
29,1/11/22 22:40,22.525,0,,,,,
30,1/11/22 22:50,22.429,0,,,,,
31,1/11/22 23:00,22.429,0,,,,,
32,1/11/22 23:10,22.525,0,,,,,
33,1/11/22 23:20,22.525,0,,,,,
34,1/11/22 23:30,22.429,0,,,,,
35,1/11/22 23:40,22.429,0,,,,,
36,1/11/22 23:50,22.429,0,,,,,
37,1/12/22 0:00,22.429,0,,,,,
38,1/12/22 0:10,22.429,0,,,,,
39,1/12/22 0:20,22.429,0,,,,,
40,1/12/22 0:30,22.429,0,,,,,
41,1/12/22 0:40,22.429,0,,,,,
42,1/12/22 0:50,22.429,0,,,,,
43,1/12/22 1:00,22.429,0,,,,,
44,1/12/22 1:10,22.429,0,,,,,
