"Título de trazado: 1. table nursery. 05/05/22"
"N.º","Fecha Tiempo, GMT-06:00","Temp, °C (LGR S/N: 21258716, SEN S/N: 21258716)","Intensidad, lux (LGR S/N: 21258716, SEN S/N: 21258716)","Acoplador adjunto (LGR S/N: 21258716)","Host conectado (LGR S/N: 21258716)","Acoplador separado (LGR S/N: 21258716)","Parado (LGR S/N: 21258716)","Final de archivo (LGR S/N: 21258716)"
1,05/05/22 01:00:00 PM,24.158,1334.7,,,,,
2,05/05/22 01:10:00 PM,23.966,10333.4,,,,,
3,05/05/22 01:20:00 PM,23.773,1980.6,,,,,
4,05/05/22 01:30:00 PM,23.966,1463.9,,,,,
5,05/05/22 01:40:00 PM,23.966,18600.1,,,,,
6,05/05/22 01:50:00 PM,24.255,11022.3,,,,,
7,05/05/22 02:00:00 PM,24.158,3100.0,,,,,
8,05/05/22 02:10:00 PM,23.966,4477.8,,,,,
9,05/05/22 02:20:00 PM,24.158,3272.2,,,,,
10,05/05/22 02:30:00 PM,24.062,7577.8,,,,,
11,05/05/22 02:40:00 PM,24.062,6200.0,,,,,
12,05/05/22 02:50:00 PM,23.869,1367.0,,,,,
13,05/05/22 03:00:00 PM,23.966,12400.1,,,,,
14,05/05/22 03:10:00 PM,24.158,4305.6,,,,,
15,05/05/22 03:20:00 PM,23.966,1894.5,,,,,
16,05/05/22 03:30:00 PM,23.773,871.9,,,,,
17,05/05/22 03:40:00 PM,23.773,5166.7,,,,,
18,05/05/22 03:50:00 PM,23.581,2411.1,,,,,
19,05/05/22 04:00:00 PM,23.581,3961.1,,,,,
20,05/05/22 04:10:00 PM,23.581,2238.9,,,,,
21,05/05/22 04:20:00 PM,23.581,1205.6,,,,,
22,05/05/22 04:30:00 PM,23.581,559.7,,,,,
23,05/05/22 04:40:00 PM,23.581,1722.2,,,,,
24,05/05/22 04:50:00 PM,23.581,1302.4,,,,,
25,05/05/22 05:00:00 PM,23.581,505.9,,,,,
26,05/05/22 05:10:00 PM,23.581,139.9,,,,,
27,05/05/22 05:20:00 PM,23.581,893.4,,,,,
28,05/05/22 05:30:00 PM,23.581,667.4,,,,,
29,05/05/22 05:40:00 PM,23.581,53.8,,,,,
30,05/05/22 05:50:00 PM,23.581,215.3,,,,,
31,05/05/22 06:00:00 PM,23.581,43.1,,,,,
32,05/05/22 06:10:00 PM,23.581,0.0,,,,,
33,05/05/22 06:20:00 PM,23.581,0.0,,,,,
34,05/05/22 06:30:00 PM,23.581,0.0,,,,,
35,05/05/22 06:40:00 PM,23.677,0.0,,,,,
36,05/05/22 06:50:00 PM,23.581,0.0,,,,,
37,05/05/22 07:00:00 PM,23.677,0.0,,,,,
38,05/05/22 07:10:00 PM,23.677,0.0,,,,,
39,05/05/22 07:20:00 PM,23.581,0.0,,,,,
40,05/05/22 07:30:00 PM,23.677,0.0,,,,,
41,05/05/22 07:40:00 PM,23.677,0.0,,,,,
42,05/05/22 07:50:00 PM,23.677,0.0,,,,,
43,05/05/22 08:00:00 PM,23.677,0.0,,,,,
44,05/05/22 08:10:00 PM,23.677,0.0,,,,,
45,05/05/22 08:20:00 PM,23.581,0.0,,,,,
46,05/05/22 08:30:00 PM,23.581,0.0,,,,,
47,05/05/22 08:40:00 PM,23.581,0.0,,,,,
48,05/05/22 08:50:00 PM,23.581,0.0,,,,,
49,05/05/22 09:00:00 PM,23.581,0.0,,,,,
50,05/05/22 09:10:00 PM,23.581,0.0,,,,,
51,05/05/22 09:20:00 PM,23.581,0.0,,,,,
52,05/05/22 09:30:00 PM,23.581,0.0,,,,,
53,05/05/22 09:40:00 PM,23.581,0.0,,,,,
54,05/05/22 09:50:00 PM,23.581,0.0,,,,,
55,05/05/22 10:00:00 PM,23.581,0.0,,,,,
56,05/05/22 10:10:00 PM,23.581,0.0,,,,,
57,05/05/22 10:20:00 PM,23.581,0.0,,,,,
58,05/05/22 10:30:00 PM,23.581,0.0,,,,,
59,05/05/22 10:40:00 PM,23.581,0.0,,,,,
60,05/05/22 10:50:00 PM,23.581,0.0,,,,,
61,05/05/22 11:00:00 PM,23.581,0.0,,,,,
62,05/05/22 11:10:00 PM,23.581,0.0,,,,,
63,05/05/22 11:20:00 PM,23.581,0.0,,,,,
64,05/05/22 11:30:00 PM,23.581,0.0,,,,,
65,05/05/22 11:40:00 PM,23.581,0.0,,,,,
66,05/05/22 11:50:00 PM,23.581,0.0,,,,,
67,05/06/22 12:00:00 AM,23.581,0.0,,,,,
68,05/06/22 12:10:00 AM,23.581,0.0,,,,,
69,05/06/22 12:20:00 AM,23.581,0.0,,,,,
70,05/06/22 12:30:00 AM,23.581,0.0,,,,,
71,05/06/22 12:40:00 AM,23.581,0.0,,,,,
72,05/06/22 12:50:00 AM,23.581,0.0,,,,,
73,05/06/22 01:00:00 AM,23.484,0.0,,,,,
74,05/06/22 01:10:00 AM,23.484,0.0,,,,,
75,05/06/22 01:20:00 AM,23.484,0.0,,,,,
76,05/06/22 01:30:00 AM,23.484,0.0,,,,,
77,05/06/22 01:40:00 AM,23.484,0.0,,,,,
78,05/06/22 01:50:00 AM,23.484,0.0,,,,,
79,05/06/22 02:00:00 AM,23.484,0.0,,,,,
80,05/06/22 02:10:00 AM,23.484,0.0,,,,,
81,05/06/22 02:20:00 AM,23.484,0.0,,,,,
82,05/06/22 02:30:00 AM,23.484,0.0,,,,,
83,05/06/22 02:40:00 AM,23.484,0.0,,,,,
84,05/06/22 02:50:00 AM,23.484,0.0,,,,,
85,05/06/22 03:00:00 AM,23.388,0.0,,,,,
86,05/06/22 03:10:00 AM,23.388,0.0,,,,,
87,05/06/22 03:20:00 AM,23.388,0.0,,,,,
88,05/06/22 03:30:00 AM,23.484,0.0,,,,,
89,05/06/22 03:40:00 AM,23.388,0.0,,,,,
90,05/06/22 03:50:00 AM,23.388,0.0,,,,,
91,05/06/22 04:00:00 AM,23.388,0.0,,,,,
92,05/06/22 04:10:00 AM,23.388,0.0,,,,,
93,05/06/22 04:20:00 AM,23.388,0.0,,,,,
94,05/06/22 04:30:00 AM,23.388,0.0,,,,,
95,05/06/22 04:40:00 AM,23.388,0.0,,,,,
96,05/06/22 04:50:00 AM,23.388,0.0,,,,,
97,05/06/22 05:00:00 AM,23.388,0.0,,,,,
98,05/06/22 05:10:00 AM,23.388,0.0,,,,,
99,05/06/22 05:20:00 AM,23.388,0.0,,,,,
100,05/06/22 05:30:00 AM,23.388,0.0,,,,,
101,05/06/22 05:40:00 AM,23.388,0.0,,,,,
102,05/06/22 05:50:00 AM,23.388,21.5,,,,,
103,05/06/22 06:00:00 AM,23.388,107.6,,,,,
104,05/06/22 06:10:00 AM,23.388,290.6,,,,,
105,05/06/22 06:20:00 AM,23.388,172.2,,,,,
106,05/06/22 06:30:00 AM,23.388,1076.4,,,,,
107,05/06/22 06:40:00 AM,23.484,1141.0,,,,,
108,05/06/22 06:50:00 AM,23.484,1324.0,,,,,
109,05/06/22 07:00:00 AM,23.388,1636.1,,,,,
110,05/06/22 07:10:00 AM,23.388,1259.4,,,,,
111,05/06/22 07:20:00 AM,23.484,635.1,,,,,
112,05/06/22 07:30:00 AM,23.484,409.0,,,,,
113,05/06/22 07:40:00 AM,23.484,2927.8,,,,,
114,05/06/22 07:50:00 AM,23.484,1636.1,,,,,
115,05/06/22 08:00:00 AM,23.484,3272.2,,,,,
116,05/06/22 08:10:00 AM,23.484,1001.0,,,,,
117,05/06/22 08:20:00 AM,23.484,3272.2,,,,,
118,05/06/22 08:30:00 AM,23.581,409.0,,,,,
119,05/06/22 08:40:00 AM,23.677,1044.1,,,,,
120,05/06/22 08:50:00 AM,23.677,3961.1,,,,,
121,05/06/22 09:00:00 AM,23.869,1722.2,,,,,
122,05/06/22 09:10:00 AM,23.773,699.7,,,,,
123,05/06/22 09:20:00 AM,23.773,10677.8,,,,,
124,05/06/22 09:30:00 AM,23.677,5166.7,,,,,
125,05/06/22 09:40:00 AM,23.677,8611.2,,,,,
126,05/06/22 09:50:00 AM,23.869,3961.1,,,,,
127,05/06/22 10:00:00 AM,24.158,1808.3,,,,,
128,05/06/22 10:10:00 AM,24.062,13089.0,,,,,
129,05/06/22 10:20:00 AM,24.158,6544.5,,,,,
130,05/06/22 10:30:00 AM,23.966,5166.7,,,,,
131,05/06/22 10:40:00 AM,24.351,10333.4,,,,,
132,05/06/22 10:50:00 AM,24.255,10677.8,,,,,
133,05/06/22 11:00:00 AM,24.255,22044.6,,,,,
134,05/06/22 11:10:00 AM,24.545,8266.7,,,,,
135,05/06/22 11:20:00 AM,24.931,31689.1,,,,,
136,05/06/22 11:30:00 AM,25.222,4133.4,,,,,
137,05/06/22 11:40:00 AM,24.641,13089.0,,,,,
138,05/06/22 11:50:00 AM,24.641,3272.2,,,,,
139,05/06/22 12:00:00 PM,24.255,5166.7,,,,,
140,05/06/22 12:10:00 PM,24.255,2238.9,,,,,
141,05/06/22 12:20:00 PM,24.641,1377.8,,,,,
142,05/06/22 12:30:00 PM,24.545,5338.9,,,,,
143,05/06/22 12:40:00 PM,24.255,7233.4,,,,,
144,05/06/22 12:50:00 PM,24.351,1367.0,,,,,
145,05/06/22 01:00:00 PM,24.062,4822.3,,,,,
146,05/06/22 01:10:00 PM,24.158,1636.1,,,,,
147,05/06/22 01:20:00 PM,24.158,6200.0,,,,,
148,05/06/22 01:30:00 PM,24.545,2927.8,,,,,
149,05/06/22 01:40:00 PM,24.448,14466.8,,,,,
150,05/06/22 01:50:00 PM,24.255,6200.0,,,,,
151,05/06/22 02:00:00 PM,24.351,4822.3,,,,,
152,05/06/22 02:10:00 PM,24.835,11022.3,,,,,
153,05/06/22 02:20:00 PM,24.545,1377.8,,,,,
154,05/06/22 02:30:00 PM,24.351,8611.2,,,,,
155,05/06/22 02:40:00 PM,24.738,6544.5,,,,,
156,05/06/22 02:50:00 PM,24.738,2066.7,,,,,
157,05/06/22 03:00:00 PM,24.835,2238.9,,,,,
158,05/06/22 03:10:00 PM,24.738,2927.8,,,,,
159,05/06/22 03:20:00 PM,24.448,1345.5,,,,,
160,05/06/22 03:30:00 PM,24.255,4650.0,,,,,
161,05/06/22 03:40:00 PM,24.255,1076.4,,,,,
162,05/06/22 03:50:00 PM,24.351,947.2,,,,,
163,05/06/22 04:00:00 PM,24.062,1151.7,,,,,
164,05/06/22 04:10:00 PM,23.869,1356.3,,,,,
165,05/06/22 04:20:00 PM,23.869,1636.1,,,,,
166,05/06/22 04:30:00 PM,23.773,828.8,,,,,
167,05/06/22 04:40:00 PM,23.677,1550.0,,,,,
168,05/06/22 04:50:00 PM,23.677,1119.5,,,,,
169,05/06/22 05:00:00 PM,23.677,2669.5,,,,,
170,05/06/22 05:10:00 PM,23.581,226.0,,,,,
171,05/06/22 05:20:00 PM,23.484,979.5,,,,,
172,05/06/22 05:30:00 PM,23.484,430.6,,,,,
173,05/06/22 05:40:00 PM,23.484,344.4,,,,,
174,05/06/22 05:50:00 PM,23.484,10.8,,,,,
175,05/06/22 06:00:00 PM,23.484,75.3,,,,,
176,05/06/22 06:10:00 PM,23.388,10.8,,,,,
177,05/06/22 06:20:00 PM,23.388,0.0,,,,,
178,05/06/22 06:30:00 PM,23.388,0.0,,,,,
179,05/06/22 06:40:00 PM,23.484,0.0,,,,,
180,05/06/22 06:50:00 PM,23.484,0.0,,,,,
181,05/06/22 07:00:00 PM,23.484,0.0,,,,,
182,05/06/22 07:10:00 PM,23.484,0.0,,,,,
183,05/06/22 07:20:00 PM,23.484,0.0,,,,,
184,05/06/22 07:30:00 PM,23.484,0.0,,,,,
185,05/06/22 07:40:00 PM,23.484,0.0,,,,,
186,05/06/22 07:50:00 PM,23.484,0.0,,,,,
