"Título de trazado: 2. rope nursery. 07/05/22 "
"N.º","Fecha Tiempo, GMT-06:00","Temp, °C (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Temp)","Intensidad, lux (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Light)","Acoplador adjunto (LGR S/N: 21258717)","Host conectado (LGR S/N: 21258717)","Acoplador separado (LGR S/N: 21258717)","Parado (LGR S/N: 21258717)","Final de archivo (LGR S/N: 21258717)"
1,05/07/22 01:00:00 PM,24.738,2583.4,,,,,
2,05/07/22 01:10:00 PM,24.545,7233.4,,,,,
3,05/07/22 01:20:00 PM,24.351,3788.9,,,,,
4,05/07/22 01:30:00 PM,24.351,9300.1,,,,,
5,05/07/22 01:40:00 PM,24.545,3788.9,,,,,
6,05/07/22 01:50:00 PM,24.545,2152.8,,,,,
7,05/07/22 02:00:00 PM,24.448,6200.0,,,,,
8,05/07/22 02:10:00 PM,24.351,4133.4,,,,,
9,05/07/22 02:20:00 PM,24.448,7577.8,,,,,
10,05/07/22 02:30:00 PM,24.351,3444.5,,,,,
11,05/07/22 02:40:00 PM,24.255,2755.6,,,,,
12,05/07/22 02:50:00 PM,24.255,5166.7,,,,,
13,05/07/22 03:00:00 PM,24.351,1550.0,,,,,
14,05/07/22 03:10:00 PM,24.158,3100.0,,,,,
15,05/07/22 03:20:00 PM,24.158,2411.1,,,,,
16,05/07/22 03:30:00 PM,24.062,4133.4,,,,,
17,05/07/22 03:40:00 PM,23.869,2755.6,,,,,
18,05/07/22 03:50:00 PM,23.773,10333.4,,,,,
19,05/07/22 04:00:00 PM,23.773,3444.5,,,,,
20,05/07/22 04:10:00 PM,23.773,4305.6,,,,,
21,05/07/22 04:20:00 PM,23.773,2927.8,,,,,
22,05/07/22 04:30:00 PM,23.677,1324.0,,,,,
23,05/07/22 04:40:00 PM,23.677,4477.8,,,,,
24,05/07/22 04:50:00 PM,23.677,818.1,,,,,
25,05/07/22 05:00:00 PM,23.677,667.4,,,,,
26,05/07/22 05:10:00 PM,23.581,1463.9,,,,,
27,05/07/22 05:20:00 PM,23.484,1065.6,,,,,
28,05/07/22 05:30:00 PM,23.484,527.4,,,,,
29,05/07/22 05:40:00 PM,23.388,107.6,,,,,
30,05/07/22 05:50:00 PM,23.388,226.0,,,,,
31,05/07/22 06:00:00 PM,23.388,53.8,,,,,
32,05/07/22 06:10:00 PM,23.388,0.0,,,,,
33,05/07/22 06:20:00 PM,23.388,0.0,,,,,
34,05/07/22 06:30:00 PM,23.292,0.0,,,,,
35,05/07/22 06:40:00 PM,23.292,0.0,,,,,
36,05/07/22 06:50:00 PM,23.292,0.0,,,,,
37,05/07/22 07:00:00 PM,23.292,0.0,,,,,
38,05/07/22 07:10:00 PM,23.292,0.0,,,,,
39,05/07/22 07:20:00 PM,23.292,0.0,,,,,
40,05/07/22 07:30:00 PM,23.292,0.0,,,,,
41,05/07/22 07:40:00 PM,23.292,0.0,,,,,
42,05/07/22 07:50:00 PM,23.292,0.0,,,,,
43,05/07/22 08:00:00 PM,23.292,0.0,,,,,
44,05/07/22 08:10:00 PM,23.196,0.0,,,,,
45,05/07/22 08:20:00 PM,23.196,0.0,,,,,
46,05/07/22 08:30:00 PM,23.196,0.0,,,,,
47,05/07/22 08:40:00 PM,23.196,0.0,,,,,
48,05/07/22 08:50:00 PM,23.196,0.0,,,,,
49,05/07/22 09:00:00 PM,23.196,0.0,,,,,
50,05/07/22 09:10:00 PM,23.196,0.0,,,,,
51,05/07/22 09:20:00 PM,23.196,0.0,,,,,
52,05/07/22 09:30:00 PM,23.196,0.0,,,,,
53,05/07/22 09:40:00 PM,23.100,0.0,,,,,
54,05/07/22 09:50:00 PM,23.100,0.0,,,,,
55,05/07/22 10:00:00 PM,23.004,0.0,,,,,
56,05/07/22 10:10:00 PM,23.004,0.0,,,,,
57,05/07/22 10:20:00 PM,23.004,0.0,,,,,
58,05/07/22 10:30:00 PM,23.004,0.0,,,,,
59,05/07/22 10:40:00 PM,23.100,0.0,,,,,
60,05/07/22 10:50:00 PM,23.100,0.0,,,,,
61,05/07/22 11:00:00 PM,23.100,0.0,,,,,
62,05/07/22 11:10:00 PM,23.100,0.0,,,,,
63,05/07/22 11:20:00 PM,23.100,0.0,,,,,
64,05/07/22 11:30:00 PM,23.100,0.0,,,,,
65,05/07/22 11:40:00 PM,23.100,0.0,,,,,
66,05/07/22 11:50:00 PM,23.100,0.0,,,,,
67,05/08/22 12:00:00 AM,23.100,0.0,,,,,
68,05/08/22 12:10:00 AM,23.100,0.0,,,,,
69,05/08/22 12:20:00 AM,23.004,0.0,,,,,
70,05/08/22 12:30:00 AM,23.004,0.0,,,,,
71,05/08/22 12:40:00 AM,23.100,0.0,,,,,
72,05/08/22 12:50:00 AM,23.004,0.0,,,,,
73,05/08/22 01:00:00 AM,23.004,0.0,,,,,
74,05/08/22 01:10:00 AM,23.100,0.0,,,,,
75,05/08/22 01:20:00 AM,23.004,0.0,,,,,
76,05/08/22 01:30:00 AM,23.004,0.0,,,,,
77,05/08/22 01:40:00 AM,23.100,0.0,,,,,
78,05/08/22 01:50:00 AM,23.100,0.0,,,,,
79,05/08/22 02:00:00 AM,23.004,0.0,,,,,
80,05/08/22 02:10:00 AM,23.100,0.0,,,,,
81,05/08/22 02:20:00 AM,23.100,0.0,,,,,
82,05/08/22 02:30:00 AM,23.100,0.0,,,,,
83,05/08/22 02:40:00 AM,23.100,0.0,,,,,
84,05/08/22 02:50:00 AM,23.100,0.0,,,,,
85,05/08/22 03:00:00 AM,23.100,0.0,,,,,
86,05/08/22 03:10:00 AM,23.100,0.0,,,,,
87,05/08/22 03:20:00 AM,23.100,0.0,,,,,
88,05/08/22 03:30:00 AM,23.100,0.0,,,,,
89,05/08/22 03:40:00 AM,23.100,0.0,,,,,
90,05/08/22 03:50:00 AM,23.100,0.0,,,,,
91,05/08/22 04:00:00 AM,23.004,0.0,,,,,
92,05/08/22 04:10:00 AM,23.004,0.0,,,,,
93,05/08/22 04:20:00 AM,23.004,0.0,,,,,
94,05/08/22 04:30:00 AM,23.004,0.0,,,,,
95,05/08/22 04:40:00 AM,23.004,0.0,,,,,
96,05/08/22 04:50:00 AM,23.004,0.0,,,,,
97,05/08/22 05:00:00 AM,23.004,0.0,,,,,
98,05/08/22 05:10:00 AM,23.004,0.0,,,,,
99,05/08/22 05:20:00 AM,23.004,0.0,,,,,
100,05/08/22 05:30:00 AM,23.004,0.0,,,,,
101,05/08/22 05:40:00 AM,23.004,0.0,,,,,
102,05/08/22 05:50:00 AM,23.004,10.8,,,,,
103,05/08/22 06:00:00 AM,23.004,21.5,,,,,
104,05/08/22 06:10:00 AM,23.004,75.3,,,,,
